"Notes"	"State"	"State Code"	"Drug/Alcohol Induced"	"Drug/Alcohol Induced Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Drug-induced causes"	"D"	"1-4 years"	"1-4"	16	4765901	Unreliable
	"Alabama"	"01"	"Drug-induced causes"	"D"	"10-14 years"	"10-14"	10	6371391	Unreliable
	"Alabama"	"01"	"Drug-induced causes"	"D"	"15-19 years"	"15-19"	195	6557289	3.0
	"Alabama"	"01"	"Drug-induced causes"	"D"	"20-24 years"	"20-24"	778	6625513	11.7
	"Alabama"	"01"	"Drug-induced causes"	"D"	"25-29 years"	"25-29"	1150	6159823	18.7
	"Alabama"	"01"	"Drug-induced causes"	"D"	"30-34 years"	"30-34"	1302	6008487	21.7
	"Alabama"	"01"	"Drug-induced causes"	"D"	"35-39 years"	"35-39"	1401	6190491	22.6
	"Alabama"	"01"	"Drug-induced causes"	"D"	"40-44 years"	"40-44"	1465	6442410	22.7
	"Alabama"	"01"	"Drug-induced causes"	"D"	"45-49 years"	"45-49"	1422	6582937	21.6
	"Alabama"	"01"	"Drug-induced causes"	"D"	"50-54 years"	"50-54"	1198	6467874	18.5
	"Alabama"	"01"	"Drug-induced causes"	"D"	"55-59 years"	"55-59"	896	5922298	15.1
	"Alabama"	"01"	"Drug-induced causes"	"D"	"60-64 years "	"60-64"	479	5082210	9.4
	"Alabama"	"01"	"Drug-induced causes"	"D"	"65-69 years"	"65-69"	268	4203933	6.4
	"Alabama"	"01"	"Drug-induced causes"	"D"	"70-74 years"	"70-74"	142	3324196	4.3
	"Alabama"	"01"	"Drug-induced causes"	"D"	"75-79 years"	"75-79"	94	2530145	3.7
	"Alabama"	"01"	"Drug-induced causes"	"D"	"80-84 years"	"80-84"	79	1747785	4.5
	"Alabama"	"01"	"Drug-induced causes"	"D"	"85-89 years"	"85-89"	56	Not Applicable	Not Applicable
	"Alabama"	"01"	"Drug-induced causes"	"D"	"90-94 years"	"90-94"	18	Not Applicable	Not Applicable
	"Alabama"	"01"	"Alcohol-induced causes"	"A"	"15-19 years"	"15-19"	12	6557289	Unreliable
	"Alabama"	"01"	"Alcohol-induced causes"	"A"	"20-24 years"	"20-24"	28	6625513	0.4
	"Alabama"	"01"	"Alcohol-induced causes"	"A"	"25-29 years"	"25-29"	46	6159823	0.7
	"Alabama"	"01"	"Alcohol-induced causes"	"A"	"30-34 years"	"30-34"	130	6008487	2.2
	"Alabama"	"01"	"Alcohol-induced causes"	"A"	"35-39 years"	"35-39"	219	6190491	3.5
	"Alabama"	"01"	"Alcohol-induced causes"	"A"	"40-44 years"	"40-44"	456	6442410	7.1
	"Alabama"	"01"	"Alcohol-induced causes"	"A"	"45-49 years"	"45-49"	781	6582937	11.9
	"Alabama"	"01"	"Alcohol-induced causes"	"A"	"50-54 years"	"50-54"	996	6467874	15.4
	"Alabama"	"01"	"Alcohol-induced causes"	"A"	"55-59 years"	"55-59"	975	5922298	16.5
	"Alabama"	"01"	"Alcohol-induced causes"	"A"	"60-64 years "	"60-64"	811	5082210	16.0
	"Alabama"	"01"	"Alcohol-induced causes"	"A"	"65-69 years"	"65-69"	490	4203933	11.7
	"Alabama"	"01"	"Alcohol-induced causes"	"A"	"70-74 years"	"70-74"	321	3324196	9.7
	"Alabama"	"01"	"Alcohol-induced causes"	"A"	"75-79 years"	"75-79"	148	2530145	5.8
	"Alabama"	"01"	"Alcohol-induced causes"	"A"	"80-84 years"	"80-84"	74	1747785	4.2
	"Alabama"	"01"	"Alcohol-induced causes"	"A"	"85-89 years"	"85-89"	27	Not Applicable	Not Applicable
	"Alabama"	"01"	"All other non-drug and non-alcohol causes"	"O"	"< 1 year"	"1"	10666	1191325	895.3
	"Alabama"	"01"	"All other non-drug and non-alcohol causes"	"O"	"1-4 years"	"1-4"	1828	4765901	38.4
	"Alabama"	"01"	"All other non-drug and non-alcohol causes"	"O"	"5-9 years"	"5-9"	1137	6103943	18.6
	"Alabama"	"01"	"All other non-drug and non-alcohol causes"	"O"	"10-14 years"	"10-14"	1410	6371391	22.1
	"Alabama"	"01"	"All other non-drug and non-alcohol causes"	"O"	"15-19 years"	"15-19"	5049	6557289	77.0
	"Alabama"	"01"	"All other non-drug and non-alcohol causes"	"O"	"20-24 years"	"20-24"	7834	6625513	118.2
	"Alabama"	"01"	"All other non-drug and non-alcohol causes"	"O"	"25-29 years"	"25-29"	7949	6159823	129.0
	"Alabama"	"01"	"All other non-drug and non-alcohol causes"	"O"	"30-34 years"	"30-34"	9262	6008487	154.1
	"Alabama"	"01"	"All other non-drug and non-alcohol causes"	"O"	"35-39 years"	"35-39"	12715	6190491	205.4
	"Alabama"	"01"	"All other non-drug and non-alcohol causes"	"O"	"40-44 years"	"40-44"	19083	6442410	296.2
	"Alabama"	"01"	"All other non-drug and non-alcohol causes"	"O"	"45-49 years"	"45-49"	29066	6582937	441.5
	"Alabama"	"01"	"All other non-drug and non-alcohol causes"	"O"	"50-54 years"	"50-54"	42556	6467874	658.0
	"Alabama"	"01"	"All other non-drug and non-alcohol causes"	"O"	"55-59 years"	"55-59"	57380	5922298	968.9
	"Alabama"	"01"	"All other non-drug and non-alcohol causes"	"O"	"60-64 years "	"60-64"	70740	5082210	1391.9
	"Alabama"	"01"	"All other non-drug and non-alcohol causes"	"O"	"65-69 years"	"65-69"	84619	4203933	2012.9
	"Alabama"	"01"	"All other non-drug and non-alcohol causes"	"O"	"70-74 years"	"70-74"	100445	3324196	3021.6
	"Alabama"	"01"	"All other non-drug and non-alcohol causes"	"O"	"75-79 years"	"75-79"	118509	2530145	4683.9
	"Alabama"	"01"	"All other non-drug and non-alcohol causes"	"O"	"80-84 years"	"80-84"	132346	1747785	7572.2
	"Alabama"	"01"	"All other non-drug and non-alcohol causes"	"O"	"85-89 years"	"85-89"	122947	Not Applicable	Not Applicable
	"Alabama"	"01"	"All other non-drug and non-alcohol causes"	"O"	"90-94 years"	"90-94"	80105	Not Applicable	Not Applicable
	"Alabama"	"01"	"All other non-drug and non-alcohol causes"	"O"	"95-99 years"	"95-99"	29762	Not Applicable	Not Applicable
	"Alabama"	"01"	"All other non-drug and non-alcohol causes"	"O"	"100+ years"	"100+"	6480	Not Applicable	Not Applicable
	"Alabama"	"01"	"All other non-drug and non-alcohol causes"	"O"	"Not Stated"	"NS"	20	Not Applicable	Not Applicable
	"Alaska"	"02"	"Drug-induced causes"	"D"	"15-19 years"	"15-19"	51	1027873	5.0
	"Alaska"	"02"	"Drug-induced causes"	"D"	"20-24 years"	"20-24"	161	1057889	15.2
	"Alaska"	"02"	"Drug-induced causes"	"D"	"25-29 years"	"25-29"	216	1040584	20.8
	"Alaska"	"02"	"Drug-induced causes"	"D"	"30-34 years"	"30-34"	218	984507	22.1
	"Alaska"	"02"	"Drug-induced causes"	"D"	"35-39 years"	"35-39"	283	968375	29.2
	"Alaska"	"02"	"Drug-induced causes"	"D"	"40-44 years"	"40-44"	250	998581	25.0
	"Alaska"	"02"	"Drug-induced causes"	"D"	"45-49 years"	"45-49"	293	1043588	28.1
	"Alaska"	"02"	"Drug-induced causes"	"D"	"50-54 years"	"50-54"	246	1009728	24.4
	"Alaska"	"02"	"Drug-induced causes"	"D"	"55-59 years"	"55-59"	170	866465	19.6
	"Alaska"	"02"	"Drug-induced causes"	"D"	"60-64 years "	"60-64"	90	643328	14.0
	"Alaska"	"02"	"Drug-induced causes"	"D"	"65-69 years"	"65-69"	28	431473	6.5
	"Alaska"	"02"	"Drug-induced causes"	"D"	"70-74 years"	"70-74"	17	281742	Unreliable
	"Alaska"	"02"	"Drug-induced causes"	"D"	"80-84 years"	"80-84"	10	112693	Unreliable
	"Alaska"	"02"	"Alcohol-induced causes"	"A"	"15-19 years"	"15-19"	17	1027873	Unreliable
	"Alaska"	"02"	"Alcohol-induced causes"	"A"	"20-24 years"	"20-24"	38	1057889	3.6
	"Alaska"	"02"	"Alcohol-induced causes"	"A"	"25-29 years"	"25-29"	90	1040584	8.6
	"Alaska"	"02"	"Alcohol-induced causes"	"A"	"30-34 years"	"30-34"	148	984507	15.0
	"Alaska"	"02"	"Alcohol-induced causes"	"A"	"35-39 years"	"35-39"	218	968375	22.5
	"Alaska"	"02"	"Alcohol-induced causes"	"A"	"40-44 years"	"40-44"	286	998581	28.6
	"Alaska"	"02"	"Alcohol-induced causes"	"A"	"45-49 years"	"45-49"	407	1043588	39.0
	"Alaska"	"02"	"Alcohol-induced causes"	"A"	"50-54 years"	"50-54"	442	1009728	43.8
	"Alaska"	"02"	"Alcohol-induced causes"	"A"	"55-59 years"	"55-59"	411	866465	47.4
	"Alaska"	"02"	"Alcohol-induced causes"	"A"	"60-64 years "	"60-64"	301	643328	46.8
	"Alaska"	"02"	"Alcohol-induced causes"	"A"	"65-69 years"	"65-69"	175	431473	40.6
	"Alaska"	"02"	"Alcohol-induced causes"	"A"	"70-74 years"	"70-74"	89	281742	31.6
	"Alaska"	"02"	"Alcohol-induced causes"	"A"	"75-79 years"	"75-79"	57	183567	31.1
	"Alaska"	"02"	"Alcohol-induced causes"	"A"	"80-84 years"	"80-84"	21	112693	18.6
	"Alaska"	"02"	"Alcohol-induced causes"	"A"	"85-89 years"	"85-89"	12	Not Applicable	Not Applicable
	"Alaska"	"02"	"All other non-drug and non-alcohol causes"	"O"	"< 1 year"	"1"	1292	210997	612.3
