State,Deaths,Sum of Population
Wyoming,87272,26988196
Wisconsin,963966,299722486
West Virginia,433016,94797778
Washington,979540,355614924
Virginia,1209113,423157531
Vermont,107444,29758544
Utah,296871,134310230
Texas,3369522,1342390927
Tennessee,1207933,335040400
South Dakota,144626,39404723
South Carolina,832686,237467789
Rhode Island,196552,51293229
Pennsylvania,2584220,676711290
Oregon,648748,197311262
Oklahoma,737899,197442825
Ohio,2235203,617206662
North Dakota,120215,33768710
North Carolina,1586027,496783769
New York,3054108,1065952993
New Mexico,319267,105820661
New Jersey,1442150,466227412
New Hampshire,213253,63886882
Nevada,394606,131640086
Nebraska,311741,85824895
Montana,178636,48618354
Missouri,1133303,315842433
Mississippi,590721,144874617
Minnesota,791391,273732352
Michigan,1796442,534117217
Massachusetts,1105000,337092049
Maryland,900996,307193038
Maine,261195,65043234
Louisiana,847792,243454445
Kentucky,849556,229931057
Kansas,503425,144586751
Iowa,568133,148888405
Indiana,1162968,351134474
Illinois,2091900,676411390
Idaho,228414,73467521
Hawaii,195065,64661142
Georgia,1427334,504253850
Florida,3540167,1020478324
District of Columbia,104081,29400323
Delaware,154573,42390208
Connecticut,593806,175490401
Colorado,637856,264601373
California,4844053,2022586423
Arkansas,587869,152929534
Arizona,955122,329637282
Alaska,72206,34864956
Alabama,968391,251106025
,,
